GL,Entry
AT1G01010,Q0WV96
AT1G01020,Q5MK24
AT1G01030,Q9MAN1
AT1G01040,Q9SP32
AT1G01050,Q93V56
AT1G01060,Q6R0H1
AT1G01070,Q5XEZ0
AT1G01080,F4HQH8
AT1G01090,O24457
AT1G01100,Q8LCW9
AT1G01110,Q9MAM4
AT1G01120,Q9MAM3
AT1G01130,F4HQI8
AT1G01140,Q9MAM1
AT1G01150,F4HQJ2
AT1G01160,Q9MAL9
AT1G01170,Q2HIQ2
AT1G01180,F4HS78
AT1G01184,P0DKI9
AT1G01190,A0A178WIC4
AT1G01200,Q9LNK1
AT1G01210,Q9LNK0
AT1G01220,Q9LNJ9
AT1G01225,Q29PY0
AT1G01230,Q9C5I0
AT1G01240,Q9LNJ7
AT1G01250,Q1ECI2
AT1G01260,Q9LNJ5
AT1G01280,Q9LNJ4
AT1G01290,Q39056
AT1G01300,Q9LNJ3
AT1G01305,Q1G401
AT1G01310,Q6ID87
AT1G01320,F4HS99
AT1G01335,P0DKH9
AT1G01340,Q9LNJ0
AT1G01350,Q8GX84
AT1G01355,F4HSA3
AT1G01360,Q84MC7
AT1G01370,Q8RVQ9
AT1G01380,Q9LNI5
AT1G01390,Q8W4C2
AT1G01400,Q9LNI3
AT1G01410,Q9LNI2
AT1G01420,Q9LNI1
AT1G01430,Q84JH9
AT1G01440,Q6NQ63
AT1G01450,F4HSB4
AT1G01453,F4HSB6
AT1G01460,Q9LMN1
AT1G01470,O03983
AT1G01480,Q06402
AT1G01490,O03982
AT1G01500,Q8GUH2
AT1G01510,O23702
AT1G01520,Q6R0H0
AT1G01530,Q9LMM8
AT1G01540,Q3EDL4
AT1G01550,Q9LMM6
AT1G01560,Q9LMM5
AT1G01570,Q9LMM4
AT1G01580,P92949
AT1G01590,Q9LMM2
AT1G01600,Q9LMM1
AT1G01610,Q9LMM0
AT1G01620,Q08733
AT1G01630,Q9LQ96
AT1G01640,Q9LQ95
AT1G01650,Q0WMJ8
AT1G01660,P0C6E7
AT1G01670,Q8GXQ7
AT1G01680,Q9LQ92
AT1G01690,Q0WWX5
AT1G01695,B3H5G8
AT1G01700,Q9LQ89
AT1G01710,F4HU51
AT1G01715,A0A1P8AM80
AT1G01720,Q39013
AT1G01725,Q9LQ84
AT1G01730,Q9LQ83
AT1G01740,F4HU55
AT1G01750,Q9LQ81
AT1G01760,F4HU58
AT1G01770,Q8GZ85
AT1G01780,Q1ECF5
AT1G01790,Q9ZTZ7
AT1G01800,Q94K30
AT1G01810,Q9LQ74
AT1G01820,Q9LQ73
AT1G01830,Q93YW3
AT1G01840,Q9LQ71
AT1G01860,O65090
AT1G01880,Q9LPD2
AT1G01900,Q84WS0
AT1G01910,Q949M9
AT1G01920,F4HU79
AT1G01930,Q9LPC8
AT1G01940,Q9LPC7
AT1G01950,Q9LPC6
AT1G01960,Q9LPC5
AT1G01970,Q9LPC4
AT1G01980,Q9LPC3
AT1G01990,Q9LPC2
AT1G02000,Q9LPC1
AT1G02010,Q9C5P7
AT1G02020,O23673
AT1G02030,Q39092
AT1G02050,O23674
AT1G02060,O81908
AT1G02065,Q8GXL3
AT1G02067,A0A1P8AU44
AT1G02070,Q0IGM8
AT1G02080,F4HVV7
AT1G02090,Q94JU3
AT1G02100,Q8VY08
AT1G02110,Q56W45
AT1G02120,F4HVW5
AT1G02130,P28188
AT1G02140,O23676
AT1G02145,A8MR93
AT1G02150,Q8LPS6
AT1G02160,Q8VZ44
AT1G02170,Q7XJE6
AT1G02180,Q8GYG8
AT1G02190,F4HVX7
AT1G02205,F4HVY0
AT1G02210,Q3E7L2
AT1G02220,Q5PP28
AT1G02230,O81913
AT1G02250,O81914
AT1G02260,O81915
AT1G02270,O81916
AT1G02280,O23680
AT1G02290,Q6GKW8
AT1G02300,F4HVZ1
AT1G02305,Q93VC9
AT1G02310,Q9FZ29
AT1G02320,Q3EDK7
AT1G02330,F4HVZ5
AT1G02335,Q9FZ27
AT1G02340,Q9FE22
AT1G02350,F4HVZ8
AT1G02360,A0A1P8AWZ7
AT1G02370,Q9FZ24
AT1G02380,Q9FZ23
AT1G02390,Q9FZ22
AT1G02400,Q9FZ21
AT1G02405,Q6NMD9
AT1G02410,Q8GWR0
AT1G02420,Q9FZ19
AT1G02430,F4HXI4
AT1G02440,F4HXI5
AT1G02450,Q9FNZ5
AT1G02460,Q9FWX5
AT1G02470,F4HXI8
AT1G02475,Q94K52
AT1G02490,Q3EDK6
AT1G02500,P23686
AT1G02510,Q9FWX6
AT1G02520,Q9FWX7
AT1G02530,Q9FWX8
AT1G02540,Q9FWX9
AT1G02550,Q4PT42
AT1G02560,Q9S834
AT1G02570,Q1PFZ3
AT1G02575,F4HXK1
AT1G02580,O65312
AT1G02610,F4HXK4
AT1G02620,Q3E6Q3
AT1G02630,Q84XI3
AT1G02640,Q94KD8
AT1G02650,Q9FWY3
AT1G02660,F4HXL0
AT1G02680,Q6NQH4
AT1G02690,Q9FWY7
AT1G02705,A0A1P8AV59
AT1G02710,Q3EDK2
AT1G02720,Q9FWY9
AT1G02730,Q9SRW9
AT1G02740,Q4V3E2
AT1G02750,Q8GWK1
