GL	meanA_log1p
AT1G01010	2.4388304753887207
AT1G01020	2.2834957413526267
AT1G01030	1.11947393870898
AT1G01040	4.398984401100447
AT1G01050	3.820867953151529
AT1G01060	4.5212365437829884
AT1G01070	2.006256456850247
AT1G01080	3.6035978669740003
AT1G01090	5.12184080966356
AT1G01100	3.770655551635878
AT1G01110	1.860059832224351
AT1G01120	4.427377641341899
AT1G01130	0.4289386318361842
AT1G01140	4.792405907828941
AT1G01150	0.0
AT1G01160	3.496368426333044
AT1G01170	3.556819135630772
AT1G01180	3.3771715382206913
AT1G01184	0.0
AT1G01190	0.31171580976136676
AT1G01200	0.22051347002812055
AT1G01210	1.8846361288836515
AT1G01220	3.3705014347970526
AT1G01225	0.6980758972845416
AT1G01230	3.262568626688417
AT1G01240	4.481995982376951
AT1G01250	1.6007610555694045
AT1G01260	3.4759298120136046
AT1G01280	0.0
AT1G01290	2.7754418129429697
AT1G01300	3.215836560806045
AT1G01305	0.0
AT1G01310	0.03164880953270115
AT1G01320	6.1541158917755325
AT1G01335	0.0
AT1G01340	2.2526194217783546
AT1G01350	2.7878978175684406
AT1G01355	0.42661496286145595
AT1G01360	3.078834099993786
AT1G01370	0.4242017370325546
AT1G01380	0.5807555297085827
AT1G01390	1.6639550261856515
AT1G01400	0.0
AT1G01410	0.0
AT1G01420	2.9238225218052643
AT1G01430	4.684800656141233
AT1G01440	3.627913694031494
AT1G01450	0.0160747747596808
AT1G01453	0.0285970886191129
AT1G01460	0.0
AT1G01470	3.7870548649841522
AT1G01480	0.5887144600666399
AT1G01490	5.213062018076635
AT1G01500	3.166659845801215
AT1G01510	3.7279386841406943
AT1G01520	1.25167055671738
AT1G01530	0.0160747747596808
AT1G01540	4.430872090316038
AT1G01550	5.530967198793481
AT1G01560	1.3138762546385954
AT1G01570	1.010030698983312
AT1G01580	1.1795066463836763
AT1G01590	0.06024589815181405
AT1G01600	0.2563310275182957
AT1G01610	3.988234915144356
AT1G01620	6.233476327601437
AT1G01630	3.44716595549615
AT1G01640	2.2531094977799455
AT1G01650	4.359312535695112
AT1G01660	0.8757125071834216
AT1G01670	1.7745045091521106
AT1G01680	1.6866019767715648
AT1G01690	1.2847292142726108
AT1G01695	0.3699271745970917
AT1G01700	0.42149562007286584
AT1G01710	3.9572817797635524
AT1G01715	0.5807741997390452
AT1G01720	3.5516703322466534
AT1G01725	2.1909781514046944
AT1G01730	3.566316624905104
AT1G01740	1.9993850742272028
AT1G01750	0.0
AT1G01760	1.4533599840137217
AT1G01770	3.725687530555305
AT1G01780	2.6708140312570277
AT1G01790	4.819754346347567
AT1G01800	4.0875092501264625
AT1G01810	0.2442414341463735
AT1G01820	4.483429795582488
AT1G01830	3.5659242986785156
AT1G01840	0.31661786104258105
AT1G01860	2.5949644124713207
AT1G01880	0.9979844859348421
AT1G01900	1.2562337755800432
AT1G01910	3.5637668949293486
AT1G01920	2.5059784870467325
AT1G01930	3.065328497676676
AT1G01940	1.5392021948655152
AT1G01950	3.0344387923682605
AT1G01960	4.909300191697233
AT1G01970	2.933632257025197
AT1G01980	0.0
AT1G01990	3.575093410225337
AT1G02000	2.692690411793203
AT1G02010	2.798644795217612
AT1G02020	3.4912023123036526
AT1G02030	0.1535184846310782
AT1G02050	2.341478332090194
AT1G02060	2.690847865912002
AT1G02065	0.0285970886191129
AT1G02067	0.0
AT1G02070	0.06141302353321315
AT1G02080	5.281136548473505
AT1G02090	2.858201236485921
AT1G02100	4.139355983167529
AT1G02110	3.261704812805303
AT1G02120	4.786235056347408
AT1G02130	3.6767181562848505
AT1G02140	4.1563131364442825
AT1G02145	3.164625274756308
AT1G02150	4.449113934667688
AT1G02160	2.4408292954905537
AT1G02170	3.3539202132479824
AT1G02180	0.8086563346942078
AT1G02190	0.0
AT1G02205	2.7072812098548873
AT1G02210	0.0
AT1G02220	1.2015641618250559
AT1G02230	0.6976362281102795
AT1G02250	0.03057773957859455
AT1G02260	3.218847985183874
AT1G02270	3.2612999171460606
AT1G02280	3.8363665627579318
AT1G02290	2.5088030966992445
AT1G02300	3.5490761175373997
AT1G02305	5.4354692994930245
AT1G02310	0.2055900329889935
AT1G02320	0.0
AT1G02330	2.9781705386993886
AT1G02335	1.2844831758283248
AT1G02340	3.804971809019596
AT1G02350	0.6809352428020119
AT1G02360	1.8955094580460152
AT1G02370	1.8647912258807775
AT1G02380	1.2744399720830955
AT1G02390	2.3847252125770657
AT1G02400	1.344415673390385
AT1G02405	0.32855907566075965
AT1G02410	2.849650542876529
AT1G02420	1.7246200837475922
AT1G02430	0.4219211223851586
AT1G02440	0.32252804852669414
AT1G02450	0.6422430519770306
AT1G02460	0.7383657472852262
AT1G02470	2.136989281101984
AT1G02475	4.0072383593584355
AT1G02490	0.0
AT1G02500	5.91355592766087
AT1G02510	0.0
AT1G02520	0.8566713022476766
AT1G02530	0.10425312175250859
AT1G02540	0.0
AT1G02550	0.0
AT1G02560	5.97428922714898
AT1G02570	0.0160747747596808
AT1G02575	0.0
AT1G02580	0.11810161691602264
AT1G02610	3.775216394878054
AT1G02620	2.0950335073604682
AT1G02630	0.317317121404341
AT1G02640	3.391459162324967
AT1G02650	0.719780965954735
AT1G02660	4.006327749038272
AT1G02680	2.357003178596983
AT1G02690	1.6500185048566935
AT1G02705	0.5566479866681875
AT1G02710	0.0
AT1G02720	1.5817583966171895
AT1G02730	1.707232443936662
AT1G02740	2.5862915628411853
AT1G02750	2.6239346364201106
AT1G02770	0.6013406991190048
AT1G02780	5.459255831581312
AT1G02790	0.0
AT1G02800	0.10425312175250859
AT1G02810	0.0759159883521269
AT1G02813	0.0
AT1G02816	2.7774957257721216
AT1G02820	1.2360765623294374
AT1G02830	0.0
AT1G02840	5.219069127931352
AT1G02850	3.6886136572445802
AT1G02860	3.440156955426332
AT1G02870	2.1563311570467745
AT1G02880	2.574698363478641
AT1G02890	5.08615415332788
AT1G02900	0.4828595159819026
AT1G02910	3.7718484222100956
AT1G02920	4.7421641764578055
AT1G02930	4.639272868213951
AT1G02940	0.15814635354830295
AT1G02950	1.304336014724956
AT1G02960	3.2397459433403526
AT1G02965	0.0
AT1G02970	0.19522038115100893
AT1G02980	0.0
AT1G02990	3.835541333574907
AT1G03000	3.7291990512071838
AT1G03010	1.4119841737168042
AT1G03020	0.07395360094728085
AT1G03040	3.8730982524934614
AT1G03050	0.0160747747596808
AT1G03055	1.0514597017099978
AT1G03060	4.59069650801749
AT1G03070	0.5677419357433814
AT1G03080	5.07863694511118
AT1G03090	5.511710782820151
AT1G03100	1.3119453212667915
AT1G03103	0.0
AT1G03106	0.046151774351614896
AT1G03110	1.1738117966627573
AT1G03120	0.1975292243995996
AT1G03130	7.2881747810655195
AT1G03140	4.2918499153181
AT1G03150	3.0171499449534362
AT1G03160	4.323203164778098
AT1G03165	0.23396384421643698
AT1G03170	0.7551513363262992
AT1G03190	2.5855387002070467
AT1G03200	2.950991638386458
AT1G03210	2.444325726450391
AT1G03220	3.6327020578669544
AT1G03230	2.8148692412264955
AT1G03240	0.7213983999243551
AT1G03250	2.9970611760520347
AT1G03260	1.8891886472389419
AT1G03270	1.1780744828152079
AT1G03280	3.8675291214606737
AT1G03290	4.303720646488389
AT1G03300	1.8065056449770016
AT1G03310	4.109122803570029
AT1G03320	0.14528456784131694
AT1G03325	0.0
AT1G03330	2.5304115071405544
AT1G03340	1.631007693122442
AT1G03350	3.972646549511159
AT1G03360	1.4927263391098131
AT1G03365	3.432848145290645
AT1G03370	3.8870804434135255
AT1G03380	5.114328714742518
AT1G03390	0.0
AT1G03395	0.0
AT1G03400	3.942661691696124
AT1G03410	3.228066941407807
AT1G03430	2.8845408106081467
AT1G03440	2.9009541577775773
AT1G03445	0.0160747747596808
AT1G03457	1.4763479734762468
AT1G03470	2.4870750103326817
AT1G03475	4.517421658867611
AT1G03490	0.0
AT1G03495	0.07052691165033145
AT1G03510	0.5632071992070381
AT1G03530	2.811156400580913
AT1G03540	1.0011496597143328
AT1G03550	3.380184529568039
AT1G03560	2.377173001379024
AT1G03590	3.663414327093367
AT1G03600	5.343144671435869
AT1G03620	1.4915802136315892
AT1G03630	4.598545411739613
AT1G03650	1.1318000484996844
AT1G03660	0.3021814464132425
